Outcome, Magnitude, Theta
1, 3.61997e+22, 0.0922236
0, 2.22622e+22, 0.623118
0, 4.22097e+22, 1.09646
1, 3.3586e+22, 0.0111865
0, 1.19512e+22, 1.34632
0, 4.466e+22, 1.53585
0, 3.44971e+22, 0.790304
0, 1.75852e+22, 1.41796
0, 2.95901e+22, 0.880902
1, 2.3478e+22, 0.149709
0, 3.49091e+22, 0.783486
1, 1.1978e+22, 0.651356
0, 1.80933e+22, 1.29526
0, 4.25206e+22, 0.910862
0, 4.32258e+22, 1.36141
0, 2.95354e+22, 0.896827
0, 4.43556e+22, 0.727147
0, 1.84947e+22, 0.838275
0, 3.4932e+22, 1.41509
0, 4.78462e+22, 1.20263
0, 3.51571e+22, 0.0397283
0, 4.77679e+22, 0.58557
0, 2.46001e+22, 1.03054
0, 1.99545e+22, 0.771221
1, 1.3475e+22, 0.0664625
0, 3.29053e+22, 0.656706
0, 4.82185e+22, 0.530928
0, 4.38537e+22, 1.03191
0, 4.23021e+22, 1.00852
1, 4.01123e+22, 0.133258
0, 4.21295e+22, 0.216368
0, 1.07883e+22, 1.25961
0, 4.08707e+22, 0.753283
0, 2.65047e+22, 1.19992
0, 1.94965e+22, 0.657045
0, 2.99355e+22, 0.930634
0, 3.88419e+22, 1.0669
0, 1.01999e+22, 1.40019
0, 3.54426e+22, 1.43216
0, 4.78698e+22, 0.710553
0, 4.87626e+22, 0.349656
0, 2.75692e+22, 1.49706
0, 4.52736e+22, 1.305
1, 1.10725e+22, 0.00242046
0, 3.67008e+22, 1.28053
0, 2.04181e+22, 0.856086
0, 1.03546e+22, 1.43864
1, 2.13274e+22, 0.223674
0, 4.4326e+22, 0.500605
0, 4.45853e+22, 1.37366
0, 4.72698e+22, 0.633099
0, 2.99474e+22, 1.25012
0, 1.29335e+22, 0.804406
0, 9.89639e+21, 0.838547
1, 6.00561e+21, 0.783289
0, 1.22536e+22, 1.42858
0, 1.96556e+22, 1.33352
0, 4.82834e+22, 0.544494
0, 4.03135e+22, 0.644548
0, 1.35944e+22, 0.773929
1, 2.42131e+22, 0.830537
0, 4.28386e+22, 0.564616
0, 4.96622e+22, 0.144479
0, 3.2685e+22, 0.997402
1, 1.92546e+22, 0.831384
1, 3.48784e+22, 0.11166
0, 2.79813e+22, 1.4147
0, 4.38895e+22, 0.128931
0, 2.94141e+22, 0.899438
0, 4.2997e+22, 1.19657
1, 2.54139e+22, 0.581363
0, 1.87938e+22, 0.559793
0, 2.12641e+22, 1.39993
0, 3.45614e+22, 1.39276
0, 1.12113e+22, 0.715868
0, 3.3856e+22, 1.10726
0, 4.44949e+22, 0.548219
1, 9.77405e+21, 0.845077
0, 3.89778e+22, 1.18228
0, 3.31495e+22, 1.55141
0, 3.19964e+22, 0.785876
1, 1.0404e+22, 1.10687
